place,Jurisdiction,Age,Females,Males,year
8675,Brighton,25-29,1064,1405,2010
12387,Castle Pines,25-29,7,0,2010
12390,Castle Pines North,25-29,138,72,2010
12415,Castle Rock,25-29,1530,1200,2010
12815,Centennial,25-29,2310,2857,2010
12910,Central City,25-29,21,20,2010
13845,Cherry Hills Village,25-29,44,27,2010
16385,Columbine Valley,25-29,7,13,2010
16495,Commerce City,25-29,2097,2345,2010
19080,Dacono,25-29,226,168,2010
19630,Deer Trail,25-29,0,10,2010
23135,Edgewater,25-29,325,202,2010
23740,Elizabeth,25-29,84,49,2010
24620,Empire,25-29,3,10,2010
24785,Englewood,25-29,1546,1459,2010
24950,Erie,25-29,319,341,2010
26270,Federal Heights,25-29,408,534,2010
26600,Firestone,25-29,348,309,2010
27700,Fort Lupton,25-29,285,357,2010
28105,Foxfield,25-29,2,8,2010
28360,Frederick,25-29,262,274,2010
29735,Georgetown,25-29,57,88,2010
30340,Glendale,25-29,358,377,2010
30835,Golden,25-29,338,710,2010
33035,Greenwood Village,25-29,415,458,2010
37820,Hudson,25-29,64,49,2010
38370,Idaho Springs,25-29,65,44,2010
39195,Jamestown,25-29,17,12,2010
40185,Keenesburg,25-29,10,15,2010
40790,Kiowa,25-29,12,6,2010
41835,Lafayette,25-29,614,525,2010
42495,Lakeside,25-29,0,9,2010
43000,Lakewood,25-29,4962,5385,2010
43550,Larkspur,25-29,1,4,2010
45255,Littleton,25-29,1377,1382,2010
45955,Lone Tree,25-29,289,187,2010
45970,Longmont,25-29,2957,3028,2010
46355,Louisville,25-29,386,409,2010
47070,Lyons,25-29,31,49,2010
49600,Mead,25-29,118,46,2010
52075,Morrison,25-29,11,0,2010
52350,Mountain View,25-29,26,21,2010
53175,Nederland,25-29,41,54,2010
54330,Northglenn,25-29,1673,1782,2010
57630,Parker,25-29,1343,1196,2010
60160,Platteville,25-29,107,96,2010
69645,Sheridan,25-29,343,285,2010
70360,Silver Plume,25-29,8,24,2010
75640,Superior,25-29,250,433,2010
77290,Thornton,25-29,5203,4533,2010
82735,Ward,25-29,6,0,2010
83835,Westminster,25-29,4074,3638,2010
84440,Wheat Ridge,25-29,1273,1166,2010
8124,Weld County (DRCOG),25-29,1879,1776,2010
8000,Region,25-29,105415,106312,2010
3455,Arvada,30-34,2957,2646,2010
4000,Aurora,30-34,12674,12815,2010
6090,Bennett,30-34,47,63,2010
7025,Black Hawk,30-34,0,15,2010
7850,Boulder City,30-34,2830,3321,2010
8001,Adams County,30-34,16841,18024,2010
8005,Arapahoe County,30-34,19956,19889,2010
8013,Boulder County,30-34,9305,10018,2010
8014,Broomfield City/County,30-34,1908,1852,2010
8019,Clear Creek County,30-34,252,293,2010
8031,Denver City/County,30-34,25996,28304,2010
8035,Douglas County,30-34,10392,9467,2010
8047,Gilpin County,30-34,200,186,2010
8059,Jefferson County,30-34,15463,16112,2010
8070,Bow Mar,30-34,0,0,2010
8123,Weld County,30-34,8387,8720,2010
8675,Brighton,30-34,1379,1437,2010
12387,Castle Pines,30-34,38,43,2010
12390,Castle Pines North,30-34,282,244,2010
12415,Castle Rock,30-34,2213,1648,2010
12815,Centennial,30-34,2395,2225,2010
12910,Central City,30-34,56,35,2010
13845,Cherry Hills Village,30-34,53,36,2010
16385,Columbine Valley,30-34,2,0,2010
16495,Commerce City,30-34,2259,2204,2010
19080,Dacono,30-34,85,183,2010
19630,Deer Trail,30-34,6,5,2010
23135,Edgewater,30-34,292,195,2010
23740,Elizabeth,30-34,69,64,2010
24620,Empire,30-34,0,0,2010
24785,Englewood,30-34,1155,1377,2010
24950,Erie,30-34,614,553,2010
26270,Federal Heights,30-34,263,375,2010
26600,Firestone,30-34,487,416,2010
27700,Fort Lupton,30-34,296,257,2010
28105,Foxfield,30-34,5,3,2010
28360,Frederick,30-34,369,389,2010
29735,Georgetown,30-34,64,42,2010
30340,Glendale,30-34,333,436,2010
30835,Golden,30-34,747,926,2010
33035,Greenwood Village,30-34,316,335,2010
37820,Hudson,30-34,92,45,2010
38370,Idaho Springs,30-34,86,95,2010
39195,Jamestown,30-34,0,0,2010
40185,Keenesburg,30-34,49,59,2010
40790,Kiowa,30-34,33,14,2010
41835,Lafayette,30-34,960,1067,2010
42495,Lakeside,30-34,0,0,2010
43000,Lakewood,30-34,4944,4720,2010
43550,Larkspur,30-34,5,0,2010
45255,Littleton,30-34,1279,1051,2010
45955,Lone Tree,30-34,142,161,2010
45970,Longmont,30-34,3035,3264,2010
46355,Louisville,30-34,660,593,2010
47070,Lyons,30-34,34,30,2010
49600,Mead,30-34,129,101,2010
52075,Morrison,30-34,1,3,2010
52350,Mountain View,30-34,24,16,2010
53175,Nederland,30-34,61,67,2010
54330,Northglenn,30-34,1533,1173,2010
57630,Parker,30-34,1839,1757,2010
60160,Platteville,30-34,126,95,2010
69645,Sheridan,30-34,201,227,2010
70360,Silver Plume,30-34,8,13,2010
75640,Superior,30-34,399,437,2010
77290,Thornton,30-34,4885,5216,2010
82735,Ward,30-34,0,0,2010
83835,Westminster,30-34,3626,4399,2010
84440,Wheat Ridge,30-34,596,1111,2010
8124,Weld County (DRCOG),30-34,2018,1897,2010
8000,Region,30-34,102331,106042,2010
3455,Arvada,35-39,3708,3649,2010
4000,Aurora,35-39,11760,13028,2010
6090,Bennett,35-39,65,64,2010
7025,Black Hawk,35-39,0,0,2010
7850,Boulder City,35-39,2873,3484,2010
8001,Adams County,35-39,16194,17456,2010
8005,Arapahoe County,35-39,20324,20892,2010
8013,Boulder County,35-39,10386,10551,2010
8014,Broomfield City/County,35-39,2098,2134,2010
8019,Clear Creek County,35-39,333,368,2010
8031,Denver City/County,35-39,22306,25776,2010
8035,Douglas County,35-39,12973,12399,2010
8047,Gilpin County,35-39,248,271,2010
8059,Jefferson County,35-39,18246,18111,2010
8070,Bow Mar,35-39,38,25,2010
8123,Weld County,35-39,8915,9323,2010
8675,Brighton,35-39,980,1173,2010
12387,Castle Pines,35-39,167,79,2010
12390,Castle Pines North,35-39,373,397,2010
12415,Castle Rock,35-39,2246,2751,2010
12815,Centennial,35-39,3352,2976,2010
12910,Central City,35-39,34,45,2010
13845,Cherry Hills Village,35-39,186,127,2010
16385,Columbine Valley,35-39,22,17,2010
16495,Commerce City,35-39,1647,2141,2010
19080,Dacono,35-39,177,165,2010
19630,Deer Trail,35-39,3,12,2010
23135,Edgewater,35-39,265,231,2010
23740,Elizabeth,35-39,43,67,2010
24620,Empire,35-39,0,5,2010
24785,Englewood,35-39,1106,1505,2010
24950,Erie,35-39,761,706,2010
26270,Federal Heights,35-39,578,490,2010
26600,Firestone,35-39,254,502,2010
27700,Fort Lupton,35-39,239,276,2010
28105,Foxfield,35-39,47,19,2010
28360,Frederick,35-39,382,359,2010
29735,Georgetown,35-39,39,56,2010
30340,Glendale,35-39,186,318,2010
30835,Golden,35-39,469,775,2010
33035,Greenwood Village,35-39,278,142,2010
37820,Hudson,35-39,49,61,2010
38370,Idaho Springs,35-39,81,89,2010
39195,Jamestown,35-39,7,21,2010
40185,Keenesburg,35-39,31,53,2010
40790,Kiowa,35-39,13,31,2010
41835,Lafayette,35-39,1200,1062,2010
42495,Lakeside,35-39,0,0,2010
43000,Lakewood,35-39,5171,4867,2010
43550,Larkspur,35-39,0,0,2010
45255,Littleton,35-39,1309,1137,2010
45955,Lone Tree,35-39,467,314,2010
45970,Longmont,35-39,3153,3147,2010
46355,Louisville,35-39,721,761,2010
47070,Lyons,35-39,70,83,2010
49600,Mead,35-39,113,139,2010
52075,Morrison,35-39,0,13,2010
52350,Mountain View,35-39,23,22,2010
53175,Nederland,35-39,51,96,2010
54330,Northglenn,35-39,1136,1326,2010
57630,Parker,35-39,2375,2442,2010
60160,Platteville,35-39,64,104,2010
69645,Sheridan,35-39,190,87,2010
70360,Silver Plume,35-39,11,14,2010
75640,Superior,35-39,606,481,2010
77290,Thornton,35-39,4517,4847,2010
82735,Ward,35-39,0,3,2010
83835,Westminster,35-39,4299,3607,2010
84440,Wheat Ridge,35-39,891,944,2010
8124,Weld County (DRCOG),35-39,2023,2211,2010
8000,Region,35-39,105131,110169,2010
3455,Arvada,40-44,3781,3899,2010
4000,Aurora,40-44,10511,10882,2010
6090,Bennett,40-44,105,118,2010
7025,Black Hawk,40-44,0,6,2010
7850,Boulder City,40-44,2888,2939,2010
8001,Adams County,40-44,14667,15484,2010
8005,Arapahoe County,40-44,20819,19488,2010
8013,Boulder County,40-44,10446,10420,2010
8014,Broomfield City/County,40-44,2347,2369,2010
8019,Clear Creek County,40-44,356,383,2010
8031,Denver City/County,40-44,17981,20832,2010
8035,Douglas County,40-44,13309,13028,2010
8047,Gilpin County,40-44,185,217,2010
8059,Jefferson County,40-44,19771,19282,2010
8070,Bow Mar,40-44,47,39,2010
8123,Weld County,40-44,7888,7826,2010
8675,Brighton,40-44,1131,1377,2010
12387,Castle Pines,40-44,175,151,2010
12390,Castle Pines North,40-44,514,420,2010
12415,Castle Rock,40-44,1901,1901,2010
12815,Centennial,40-44,4536,3483,2010
12910,Central City,40-44,18,9,2010
13845,Cherry Hills Village,40-44,209,155,2010
16385,Columbine Valley,40-44,36,25,2010
16495,Commerce City,40-44,1194,1219,2010
19080,Dacono,40-44,214,88,2010
19630,Deer Trail,40-44,5,8,2010
23135,Edgewater,40-44,150,150,2010
23740,Elizabeth,40-44,37,48,2010
24620,Empire,40-44,4,9,2010
24785,Englewood,40-44,1002,862,2010
24950,Erie,40-44,901,877,2010
26270,Federal Heights,40-44,298,406,2010
26600,Firestone,40-44,384,374,2010
27700,Fort Lupton,40-44,323,160,2010
28105,Foxfield,40-44,24,23,2010
28360,Frederick,40-44,337,277,2010
29735,Georgetown,40-44,32,33,2010
30340,Glendale,40-44,135,58,2010
30835,Golden,40-44,595,564,2010
33035,Greenwood Village,40-44,429,346,2010
37820,Hudson,40-44,65,54,2010
38370,Idaho Springs,40-44,36,76,2010
39195,Jamestown,40-44,32,11,2010
40185,Keenesburg,40-44,56,28,2010
40790,Kiowa,40-44,59,11,2010
41835,Lafayette,40-44,968,977,2010
42495,Lakeside,40-44,0,1,2010
43000,Lakewood,40-44,4496,5000,2010
43550,Larkspur,40-44,16,16,2010
45255,Littleton,40-44,1594,1193,2010
45955,Lone Tree,40-44,536,545,2010
45970,Longmont,40-44,2894,2843,2010
46355,Louisville,40-44,645,614,2010
47070,Lyons,40-44,64,63,2010
49600,Mead,40-44,106,204,2010
52075,Morrison,40-44,4,5,2010
52350,Mountain View,40-44,25,40,2010
53175,Nederland,40-44,89,70,2010
54330,Northglenn,40-44,1155,1278,2010
57630,Parker,40-44,2129,2088,2010
60160,Platteville,40-44,62,86,2010
69645,Sheridan,40-44,93,263,2010
70360,Silver Plume,40-44,0,0,2010
75640,Superior,40-44,641,669,2010
77290,Thornton,40-44,4343,4411,2010
82735,Ward,40-44,9,0,2010
83835,Westminster,40-44,3976,3928,2010
84440,Wheat Ridge,40-44,959,895,2010
8124,Weld County (DRCOG),40-44,2367,2190,2010
8000,Region,40-44,102248,103693,2010
3455,Arvada,45-49,4796,4470,2010
4000,Aurora,45-49,11283,10625,2010
6090,Bennett,45-49,156,105,2010
7025,Black Hawk,45-49,0,14,2010
7850,Boulder City,45-49,2694,2499,2010
8001,Adams County,45-49,14623,15138,2010
8005,Arapahoe County,45-49,22320,20861,2010
8013,Boulder County,45-49,11468,11211,2010
8014,Broomfield City/County,45-49,2254,2270,2010
8019,Clear Creek County,45-49,400,497,2010
8031,Denver City/County,45-49,17607,18968,2010
8035,Douglas County,45-49,12347,12079,2010
8047,Gilpin County,45-49,241,275,2010
8059,Jefferson County,45-49,23683,22616,2010
8070,Bow Mar,45-49,39,51,2010
8123,Weld County,45-49,8372,8789,2010
8675,Brighton,45-49,1182,1196,2010
12387,Castle Pines,45-49,156,111,2010
12390,Castle Pines North,45-49,582,610,2010
12415,Castle Rock,45-49,1786,1874,2010
12815,Centennial,45-49,4919,4209,2010
12910,Central City,45-49,3,5,2010
13845,Cherry Hills Village,45-49,299,272,2010
16385,Columbine Valley,45-49,65,27,2010
16495,Commerce City,45-49,982,1193,2010
19080,Dacono,45-49,79,111,2010
19630,Deer Trail,45-49,49,26,2010
23135,Edgewater,45-49,272,181,2010
23740,Elizabeth,45-49,59,47,2010
24620,Empire,45-49,9,12,2010
24785,Englewood,45-49,1194,1256,2010
